Defines whether a link to My Account &gt, Order by SKU page will be displayed on the widget,Defines whether a link to My Account &gt, Order by SKU page will be displayed on the widget,module,Magento_AdvancedCheckout,,
Discount,Diskon,module,Magento_AdvancedCheckout,,,,
Display a Link to Loading a Spreadsheet,Display a Link to Loading a Spreadsheet,module,Magento_AdvancedCheckout,,,,
Edit,Ubah,module,Magento_AdvancedCheckout,,,,
Edit item parameters,Edit item parameters,module,Magento_AdvancedCheckout,,,,
Enable Order by SKU on My Account in Storefront,Enable Order by SKU on My Account in Storefront,module,Magento_AdvancedCheckout,,,,
Excl. Tax,Excl. Tax,module,Magento_AdvancedCheckout,,,,
File,File,module,Magento_AdvancedCheckout,,,,
File extensions allowed: .csv,File extensions allowed: .csv,module,Magento_AdvancedCheckout,,,,
ID,ID,module,Magento_AdvancedCheckout,,,,
Incl. Tax,Incl. Tax,module,Magento_AdvancedCheckout,,,,
Item,Item,module,Magento_AdvancedCheckout,,,,
Last ordered items (%1),Item terakhir yang dipesan (%1),module,Magento_AdvancedCheckout,,,,
Link Text,Link Text,module,Magento_AdvancedCheckout,,,,
Load a list of SKUs,Load a list of SKUs,module,Magento_AdvancedCheckout,,,,
Manage Shopping Cart,Atur tas belanja,module,Magento_AdvancedCheckout,,,,
Move to Wish List,Pindah ke Wish List,module,Magento_AdvancedCheckout,,,,
No,Tidak,module,Magento_AdvancedCheckout,,,,
No item specified.,Tidak ada item ditetapkan,module,Magento_AdvancedCheckout,,,,
No ordered items,Tidak ada item yang dipesan,module,Magento_AdvancedCheckout,,,,
Only %1%2%3 left in stock,Hanya %1%2%3 item yang tersisa,module,Magento_AdvancedCheckout,,,,
"Only <span id=""%1_max_allowed"">%2</span> in stock","Hanya <span id=""%1_max_allowed"">%2</span> item yang tersedia",module,Magento_AdvancedCheckout,,,,
Order by SKU,Order berdasarkan SKU,module,Magento_AdvancedCheckout,,,,
Order by SKU Description,Order berdasarkan deskripsi SKU,module,Magento_AdvancedCheckout,,,,
Order by SKU Settings,Order berdasarkan pengaturan SKU,module,Magento_AdvancedCheckout,,,,
Order by SKU Template,Order  berdasarkan template SKU,module,Magento_AdvancedCheckout,,,,
Ordered item id is not received.,Item pesanan tidak diterima,module,Magento_AdvancedCheckout,,,,
Ordered item is not loaded.,Item pesanan tidak terisi,module,Magento_AdvancedCheckout,,,,
"Please enter an actual number in the ""Qty"" field.","Mohon isi nomor yang sebenarnya di bagian ""Quantity""",module,Magento_AdvancedCheckout,,,,
Please select,Silakan pilih,module,Magento_AdvancedCheckout,,,,
Please upload the file in .csv format.,Please upload the file in .csv format.,module,Magento_AdvancedCheckout,,,,
Price,Harga,module,Magento_AdvancedCheckout,,,,
Product,Produk,module,Magento_AdvancedCheckout,,,,
Products,Produk,module,Magento_AdvancedCheckout,,,,
Products in the Comparison List (%1),Produk dalam Daftar Komparasi,module,Magento_AdvancedCheckout,,,,
Products Requiring Attention,Produk memerlukan perhatian,module,Magento_AdvancedCheckout,,,,
Qty,Jumlah,module,Magento_AdvancedCheckout,,,,
Quantity,Jumlah,module,Magento_AdvancedCheckout,,,,
Quote item id is not received.,Quote item id is not received.,module,Magento_AdvancedCheckout,,,,
Quote item is not loaded.,Quote item is not loaded.,module,Magento_AdvancedCheckout,,,,
Recently Compared Products (%1),Recently Compared Products (%1),module,Magento_AdvancedCheckout,,,,
Recently Viewed Products (%1),Recently Viewed Products (%1),module,Magento_AdvancedCheckout,,,,
Remove,Hapus,module,Magento_AdvancedCheckout,,,,
Remove All,Hapus Semua,module,Magento_AdvancedCheckout,,,,
Remove Coupon Code,Hapus Kode Diskon,module,Magento_AdvancedCheckout,,,,
Remove item,Hilangkan item ini,module,Magento_AdvancedCheckout,,,,
Remove Row,Hapus Row,module,Magento_AdvancedCheckout,,,,
Reset,Reset,module,Magento_AdvancedCheckout,,,,
Row Subtotal,Row Subtotal,module,Magento_AdvancedCheckout,,,,
See price before order confirmation.,Lihat harga sebelum konfirmasi pesanan,module,Magento_AdvancedCheckout,,,,
Select products you want to buy,Pilih produk yang ingin kamu beli,module,Magento_AdvancedCheckout,,,,
Shopping Cart,Tas Belanja,module,Magento_AdvancedCheckout,,,,
Shopping Cart for %1 in %2,Shopping Cart for %1 in %2,module,Magento_AdvancedCheckout,,,,
Shopping Cart Items,Item Tas Belanja,module,Magento_AdvancedCheckout,,,,
Shopping Cart Management,Atur Tas Belanja,module,Magento_AdvancedCheckout,,,,
Shopping cart management is disabled for this customer.,Pengaturan tas belanja tidak berlaku untuk customer ini,module,Magento_AdvancedCheckout,,,,
SKU,SKU,module,Magento_AdvancedCheckout,,,,
Sku,Sku,module,Magento_AdvancedCheckout,,,,
SKU not found in catalog.,SKU tidak ditemukan di katalog,module,Magento_AdvancedCheckout,,,,
SKU number,Nomer SKU,module,Magento_AdvancedCheckout,,,,
SKU:,SKU:,module,Magento_AdvancedCheckout,,,,
Something went wrong while reordering this product.,Terjadi kesalahan ketika item dipesan kembali,module,Magento_AdvancedCheckout,,,,
"Sorry, something went wrong. You can find out more in the error log.","Maaf, terjadi kesalahan. Anda dapat menemukan lebih banyak di error log.",module,Magento_AdvancedCheckout,,,,
Specify the product's options.,Specify the product's options.,module,Magento_AdvancedCheckout,,,,
